Subject_ID,Task,Valid_Trial_Count,Correct_Trial_Count,Overall_Accuracy,Total_Hesitation_Duration
xxxxxxxx051,STT,12,12,1,6.650974855
xxxxxxxx052,Dots,12,12,1,4.660547925
xxxxxxxx052,Hanzi,12,12,1,3.361702194
xxxxxxxx052,STT,12,12,1,7.25114033
xxxxxxxx053,Dots,12,12,1,3.095790922
xxxxxxxx053,Hanzi,12,12,1,2.665476177
xxxxxxxx053,STT,12,11,0.916666667,7.032055909
xxxxxxxx054,Dots,12,12,1,4.455018055
xxxxxxxx054,Hanzi,12,12,1,4.064394628
xxxxxxxx054,STT,12,12,1,6.309715446
xxxxxxxx055,Dots,12,12,1,3.751796539
xxxxxxxx055,Hanzi,12,12,1,3.698920581
xxxxxxxx055,STT,12,12,1,4.501389755
xxxxxxxx056,Dots,12,12,1,3.338720134
xxxxxxxx056,Hanzi,12,12,1,2.817361212
xxxxxxxx056,STT,12,9,0.75,4.048454417
xxxxxxxx057,Dots,12,12,1,3.152994438
xxxxxxxx057,Hanzi,12,12,1,3.563414506
xxxxxxxx057,STT,12,12,1,5.682413211
xxxxxxxx058,Dots,12,12,1,5.320189227
xxxxxxxx058,Hanzi,12,12,1,4.154195353
xxxxxxxx058,STT,12,11,0.916666667,9.79562361
xxxxxxxx059,Dots,12,12,1,3.328175028
xxxxxxxx059,Hanzi,12,12,1,2.20484773
xxxxxxxx059,STT,12,12,1,3.404733315
xxxxxxxx060,Dots,12,12,1,3.065420502
xxxxxxxx060,Hanzi,12,12,1,2.692034724
xxxxxxxx060,STT,12,12,1,3.575708865
xxxxxxxx061,Dots,12,12,1,3.242659778
xxxxxxxx061,Hanzi,12,12,1,3.2192605
xxxxxxxx061,STT,12,12,1,4.924829035
xxxxxxxx062,Dots,12,12,1,2.169097267
xxxxxxxx062,Hanzi,12,12,1,2.376688661
xxxxxxxx062,STT,12,12,1,5.628463786
xxxxxxxx063,Dots,12,12,1,2.6028088
xxxxxxxx063,Hanzi,12,12,1,2.605527693
xxxxxxxx063,STT,12,12,1,2.80232221
xxxxxxxx064,Dots,12,12,1,2.306786119
xxxxxxxx064,Hanzi,12,12,1,2.638908071
xxxxxxxx064,STT,12,12,1,3.125974486
xxxxxxxx065,Dots,12,12,1,4.701368039
xxxxxxxx065,Hanzi,12,12,1,3.39661656
xxxxxxxx065,STT,12,12,1,15.40134986
xxxxxxxx066,Dots,12,12,1,2.069054496
xxxxxxxx066,Hanzi,12,12,1,2.280672936
xxxxxxxx066,STT,12,12,1,4.948868523
xxxxxxxx067,Dots,12,12,1,2.728847162
xxxxxxxx067,Hanzi,12,12,1,2.816720409
xxxxxxxx067,STT,12,12,1,4.116618461
xxxxxxxx068,Dots,12,12,1,2.297280992
xxxxxxxx068,Hanzi,12,11,0.916666667,2.563198368
xxxxxxxx068,STT,12,12,1,10.84256481
xxxxxxxx069,Dots,12,12,1,2.341374706
xxxxxxxx069,Hanzi,12,12,1,2.384628364
xxxxxxxx069,STT,12,5,0.416666667,5.663445556
xxxxxxxx070,Dots,12,12,1,3.072487574
xxxxxxxx070,Hanzi,12,12,1,2.861822641
xxxxxxxx070,STT,12,10,0.833333333,6.557894196
xxxxxxxx071,Dots,12,12,1,2.795065806
xxxxxxxx071,Hanzi,12,12,1,2.582203534
xxxxxxxx071,STT,12,12,1,4.022304064
xxxxxxxx072,Dots,12,12,1,2.375225571
xxxxxxxx072,Hanzi,12,12,1,1.883797637
xxxxxxxx072,STT,12,12,1,3.995212715
xxxxxxxx073,Dots,12,12,1,4.391554966
xxxxxxxx073,Hanzi,12,12,1,3.025654774
xxxxxxxx073,STT,12,12,1,5.081409044
xxxxxxxx074,Dots,12,12,1,1.730875642
xxxxxxxx074,Hanzi,12,12,1,1.798599825
xxxxxxxx074,STT,12,12,1,3.399016093
xxxxxxxx075,Dots,12,12,1,4.63577437
xxxxxxxx075,Hanzi,12,12,1,3.319997199
xxxxxxxx075,STT,12,12,1,9.564624635
xxxxxxxx076,Dots,12,12,1,5.846052352
xxxxxxxx076,Hanzi,12,12,1,3.556650704
xxxxxxxx076,STT,12,12,1,10.06068838
xxxxxxxx077,Dots,12,12,1,4.221973097
xxxxxxxx077,Hanzi,12,12,1,4.110385938
xxxxxxxx077,STT,12,12,1,4.216858587
xxxxxxxx078,Dots,12,12,1,7.856633206
xxxxxxxx078,Hanzi,12,12,1,7.993277733
xxxxxxxx078,STT,12,12,1,7.688539337
xxxxxxxx079,Dots,12,12,1,3.93942813
xxxxxxxx079,Hanzi,12,12,1,3.560329962
xxxxxxxx079,STT,12,12,1,5.733290246
xxxxxxxx080,Dots,12,12,1,3.042811962
xxxxxxxx080,Hanzi,12,12,1,2.150030969
xxxxxxxx080,STT,12,12,1,4.814441222
xxxxxxxx081,Dots,12,12,1,4.664960488
xxxxxxxx081,Hanzi,12,12,1,6.724704188
xxxxxxxx081,STT,12,12,1,8.857739433
xxxxxxxx082,Dots,12,12,1,4.167842962
xxxxxxxx082,Hanzi,12,12,1,3.164723942
xxxxxxxx082,STT,12,12,1,5.663951654
xxxxxxxx083,Dots,12,12,1,2.466061587
xxxxxxxx083,Hanzi,12,12,1,2.734286376
xxxxxxxx083,STT,12,12,1,7.974777887
xxxxxxxx084,Dots,12,12,1,4.072718302
xxxxxxxx084,Hanzi,12,12,1,2.333235481
xxxxxxxx084,STT,12,12,1,6.873084788
xxxxxxxx085,Dots,12,12,1,3.793029071
xxxxxxxx085,Hanzi,12,12,1,3.047937798
xxxxxxxx085,STT,12,12,1,3.376213086
xxxxxxxx086,Dots,12,12,1,2.278852986
xxxxxxxx086,Hanzi,12,12,1,2.818804458
xxxxxxxx086,STT,12,12,1,5.866202595
xxxxxxxx087,Dots,12,12,1,1.566201507
xxxxxxxx087,Hanzi,12,12,1,3.439255662
xxxxxxxx087,STT,12,10,0.833333333,3.01716186
xxxxxxxx088,Dots,12,12,1,2.967023727
xxxxxxxx088,Hanzi,12,12,1,2.944127814
xxxxxxxx088,STT,12,12,1,5.721444703
xxxxxxxx089,Dots,12,12,1,3.148227869
xxxxxxxx089,Hanzi,12,12,1,1.844989985
xxxxxxxx089,STT,12,12,1,5.605252385
xxxxxxxx090,Dots,12,12,1,3.277886411
xxxxxxxx090,Hanzi,12,12,1,3.776975569
xxxxxxxx090,STT,12,12,1,3.681850385
xxxxxxxx091,Dots,12,12,1,3.148881532
xxxxxxxx091,Hanzi,12,12,1,2.62485602
xxxxxxxx091,STT,12,12,1,4.763394046
xxxxxxxx092,Dots,12,12,1,3.151728964
xxxxxxxx092,Hanzi,12,12,1,3.366291866
xxxxxxxx092,STT,12,12,1,3.866683271
xxxxxxxx093,Dots,12,12,1,4.88794901
xxxxxxxx093,Hanzi,12,12,1,4.321445866
xxxxxxxx093,STT,12,12,1,18.63994602
xxxxxxxx094,Dots,12,2,0.166666667,6.960023873
xxxxxxxx094,Hanzi,12,12,1,4.710133109
xxxxxxxx094,STT,12,9,0.75,12.46698046
xxxxxxxx095,Dots,12,12,1,6.940627939
xxxxxxxx095,Hanzi,12,12,1,7.392903603
xxxxxxxx095,STT,12,12,1,15.33391648
xxxxxxxx096,Dots,12,12,1,6.00432355
xxxxxxxx096,Hanzi,12,2,0.166666667,3.930947725
xxxxxxxx096,STT,12,10,0.833333333,19.87654017
xxxxxxxx097,Dots,12,12,1,2.742568859
xxxxxxxx097,Hanzi,12,12,1,2.78074463
xxxxxxxx097,STT,12,12,1,7.829475392
xxxxxxxx098,Dots,12,11,0.916666667,5.227601019
xxxxxxxx098,Hanzi,12,12,1,5.832345999
xxxxxxxx098,STT,12,11,0.916666667,10.5958129
xxxxxxxx099,Dots,12,12,1,5.905679555
xxxxxxxx099,Hanzi,12,12,1,3.064552785
xxxxxxxx099,STT,12,12,1,13.88246124
xxxxxxxx100,Dots,12,12,1,4.447000035
xxxxxxxx100,Hanzi,12,12,1,4.510381175
xxxxxxxx100,STT,12,12,1,13.3392044
xxxxxxxx101,Dots,12,12,1,6.008667708
xxxxxxxx101,Hanzi,12,12,1,2.109427544
xxxxxxxx101,STT,12,12,1,8.631893424
xxxxxxxx102,Dots,12,8,0.666666667,5.440459512
xxxxxxxx102,Hanzi,12,12,1,2.315124431
xxxxxxxx102,STT,12,12,1,14.03569334
xxxxxxxx103,Dots,12,12,1,3.504382191
xxxxxxxx103,Hanzi,12,12,1,3.007439596
xxxxxxxx103,STT,12,12,1,8.894179262
xxxxxxxx104,Dots,12,12,1,4.055198817
xxxxxxxx104,Hanzi,12,12,1,2.454670185
xxxxxxxx104,STT,12,12,1,5.474486348
xxxxxxxx105,Dots,12,12,1,4.196952501
xxxxxxxx105,Hanzi,12,12,1,3.29301444
xxxxxxxx105,STT,12,12,1,9.935543683
xxxxxxxx106,Dots,12,12,1,5.564257215
