Feature_Order,Feature,Adjusted_Status,Adjusted_Optimizer,Adjusted_Converged,N_Subjects,N_Observations,Adjusted_Warnings,Adjusted_Age_Task_Beta,Adjusted_Age_Task_SE,Adjusted_Age_Task_CI_Low,Adjusted_Age_Task_CI_High,Adjusted_Age_Task_Z,Adjusted_Age_Task_P_Raw,Adjusted_Education_Main_Beta,Adjusted_Education_Main_SE,Adjusted_Education_Main_CI_Low,Adjusted_Education_Main_CI_High,Adjusted_Education_Main_Z,Adjusted_Education_Main_P_Raw,Adjusted_Education_Task_Beta,Adjusted_Education_Task_SE,Adjusted_Education_Task_CI_Low,Adjusted_Education_Task_CI_High,Adjusted_Education_Task_Z,Adjusted_Education_Task_P_Raw,Adjusted_Age_Task_Q_FDR_BH_25,Adjusted_Education_Task_Q_FDR_BH_25,Original_90Test_Age_Task_Beta,Original_90Test_Age_Task_P_Raw,Original_90Test_Age_Task_Q_FDR_BH,Age_Task_Same_Direction,Age_Task_Absolute_Percent_Change,Age_Task_Retained_Q_LE_0_01,Age_Task_Retained_Q_LE_0_05
11,jitterLocal_sma3nz_amean,ok,lbfgs,True,158,3784,,0.09513691530130135,0.05375266704502596,-0.010218312106949526,0.20049214270955223,1.769901300369149,0.07674358417542788,0.02612703266271956,0.04073731017409361,-0.053718095278503915,0.10597216060394304,0.6413538977184292,0.521292778774117,-0.034828514144063835,0.05375106630498076,-0.14018060410182615,0.07052357581369846,-0.6479595017975764,0.5170111442013354,0.08720861838116804,0.886268470221283,0.120782830018279,0.000909303742503,0.0040748520804154,True,21.2330798285621,False,False
12,shimmerLocaldB_sma3nz_amean,ok,lbfgs,True,158,3784,,0.1476022912390943,0.052198444647781575,0.04529333972944241,0.24991124274874618,2.8277143549978816,0.004688161736843887,0.00079181339422792,0.04876106364407476,-0.09477987134815861,0.09636349813661445,0.01623864073203288,0.9870440086756699,-0.030818570966241604,0.052198415001933306,-0.13312746437003087,0.07149032243754767,-0.5904120070523244,0.5549144626799837,0.014650505427637146,0.886268470221283,0.1703011536953111,1.4549410702706342e-06,1.6285785954692862e-05,True,13.328660413438978,False,True
13,HNRdBACF_sma3nz_amean,ok,lbfgs,True,158,3784,,-0.15305218394768458,0.043268839711287616,-0.2378591097818083,-0.06824525811356086,-3.5372379978046324,0.00040433513197000916,0.04980145259283108,0.08336905194655327,-0.11360188922241332,0.2132047944080755,0.5973613880694972,0.5502661270179103,0.02949451196769381,0.043268625880011354,-0.05531199475712843,0.11430101869251606,0.6816604726363469,0.4954536670184849,0.0033544250051631237,0.886268470221283,-0.1747809061321148,2.471570212273801e-09,4.4488263820928426e-08,True,12.431977076492409,True,True
14,F1amplitudeLogRelF0_sma3nz_amean,ok,lbfgs,True,158,3784,,-0.11670843837773488,0.057843327538589194,-0.2300813603533697,-0.0033355164021000583,-2.0176646701363237,0.04362619669337147,-0.04309128648803294,0.04254213924790676,-0.12647387941393018,0.0402913064378643,-1.0129083127890237,0.31110395741083396,0.034377603086895095,0.05784154025656868,-0.07899181581597951,0.1477470219897697,0.5943410727723673,0.5522840127313937,0.06354019595099274,0.886268470221283,-0.1420134579223865,0.000288137930582,0.0014406896529103,True,17.8187475432655,False,False
15,F3amplitudeLogRelF0_sma3nz_amean,ok,lbfgs,True,158,3784,,-0.10033037285552185,0.05193272288181822,-0.20211850970388556,0.001457763992841865,-1.9319297600443701,0.05336817599119589,-0.04306569982480045,0.046836764335808224,-0.13486575792298455,0.04873435827338367,-0.9194849481067873,0.3578419750037065,0.015463337595181854,0.05193132656208098,-0.08632206246649686,0.11724873765686057,0.29776511826048396,0.7658824391338305,0.07022128419894197,0.9119727184309915,-0.111703619351821,0.0014815609545063,0.0055558535793986,True,10.181627562557354,False,False
16,F3amplitudeLogRelF0_sma3nz_stddevNorm,ok,lbfgs,True,158,3784,,-0.1470270418270609,0.050486527943640384,-0.24598063659659603,-0.04807344705752574,-2.9122034692342393,0.0035888877482319888,-0.023227068945999223,0.04384031170330759,-0.10915407988448211,0.06269994199248366,-0.529810761912234,0.5962431428422456,0.09880342429008315,0.05048461610858513,-0.0001464232827436962,0.19775327186291,1.9570996455152048,0.05033575411021803,0.012817456243685674,0.4194646175851503,-0.2197910111002904,2.0329627505666855e-10,4.5741661887750435e-09,True,33.10598049891467,False,True
17,hammarbergIndexV_sma3nz_stddevNorm,ok,powell,True,158,3784,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 88.226227 | The MLE may be on the boundary of the parameter space.",0.06058046729277803,0.04392392090114818,-0.025510417673472403,0.14667135225902847,1.3792135594888215,0.16782891858834448,0.021332300549137876,0.05018808156228582,-0.07703633931294233,0.11970094041121808,0.42504714037860697,0.6708023105151195,-0.08008954530292113,0.04392415941054398,-0.16618089774758732,0.006001807141745058,-1.8233597723374,0.06824891884639074,0.1765635785537558,0.4265557427899421,0.119800381978098,0.0001232715164054,0.0007396290984324,True,49.43215848522637,False,False
18,spectralFluxV_sma3nz_stddevNorm,ok,lbfgs,True,158,3784,,0.12965274423339537,0.05493580464936966,0.021978567120630843,0.2373269213461599,2.360077276758028,0.018271128558985338,0.05495942834417237,0.06031934461469293,-0.06326648710062577,0.17318534378897052,0.9111410061770637,0.3622210828339196,-0.011767256449302333,0.054935810268872225,-0.1194414445762919,0.09590693167768723,-0.21420010721075877,0.8303910124798894,0.03262685444632176,0.9119727184309915,0.1383185092859709,0.0001977744992291,0.001112481558164,True,6.265079848900927,False,True
19,mfcc1V_sma3nz_amean,ok,lbfgs,True,158,3784,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.,-0.04303459846319846,0.0419708670979919,-0.12529749797526257,0.03922830104886567,-1.0253445172510494,0.30520065748217495,-0.018578478884696863,0.06215187850319335,-0.14039616075095582,0.1032392029815621,-0.29892063332795815,0.7650006033695921,0.06476674246995137,0.04197090696960797,-0.017496235190480255,0.147029720130383,1.5431342123926546,0.12279821527979508,0.30520065748217495,0.4531348644834652,-0.0907110877925486,0.0014141364378094,0.0055335773653411,True,52.55861272260754,False,False
20,mfcc1V_sma3nz_stddevNorm,ok,lbfgs,True,158,3784,,0.07311769343634099,0.053222610892603925,-0.031198623913162707,0.1774340107858447,1.3738088419578414,0.16950103541160555,0.048261235307591084,0.053705894480517526,-0.05700231787422327,0.15352478848940543,0.8986208269019417,0.368854661399146,-0.12790430493447272,0.053221510564602705,-0.232218465641094,-0.023590144227851426,-2.40324454487658,0.01625031631703084,0.1765635785537558,0.3943145929130829,0.1673022532466113,5.009458419596959e-06,4.098647797852058e-05,True,56.29604980360779,False,False
21,alphaRatioUV_sma3nz_amean,ok,lbfgs,True,158,3784,The MLE may be on the boundary of the parameter space.,-0.10757775671193487,0.059948283425903554,-0.22507639222670583,0.009920878802836097,-1.79450937648451,0.072731903368642,-0.019880271309810932,0.03307490240291033,-0.08470708001951519,0.04494653739989332,-0.6010681775454498,0.5477945776361471,0.031225649743484664,0.05994484798007022,-0.08626625229745297,0.1487175517844223,0.520906312980662,0.6024320374325385,0.08658559924838334,0.886268470221283,-0.130567222677726,0.0012827196932916,0.0052474896543747,True,17.60737916784455,False,False
22,hammarbergIndexUV_sma3nz_amean,ok,lbfgs,True,158,3784,The MLE may be on the boundary of the parameter space.,0.15372768115223856,0.0590564562301084,0.03797702694122611,0.269478335363251,2.603063085147742,0.009239495065676414,0.021059284472160805,0.03325563179158836,-0.04412175383935238,0.086240322783674,0.6332546801136858,0.5265673432435704,-0.030741577601585416,0.059053069054538325,-0.14648559294848054,0.0850024377453097,-0.5205754433049721,0.6026625597504724,0.023098737664191033,0.886268470221283,0.1763586499380159,1.0146033953885956e-05,7.024177352690278e-05,True,12.832355426700847,False,True
23,slopeUV500-1500_sma3nz_amean,ok,lbfgs,True,158,3784,,-0.14307026501209094,0.05997310338636777,-0.2606175476493718,-0.025522982374810113,-2.38557381448784,0.017052499882942218,-0.0237258790812291,0.037237683662114635,-0.09671173905897378,0.04925998089651558,-0.6371470174276078,0.5240290851882807,-0.012183255980963523,0.0599706332624573,-0.12972569717537985,0.10535918521345279,-0.2031536990387337,0.8390149009565122,0.03262685444632176,0.9119727184309915,-0.1340786219667455,0.0009507988187636,0.0040748520804154,True,6.706246613703691,False,True
24,spectralFluxUV_sma3nz_amean,ok,lbfgs,True,158,3784,,0.14655156937673455,0.060505951299203525,0.027959904830295645,0.26514323392317346,2.4221017309856543,0.015431030025094461,0.09113039407939018,0.038594267956516416,0.015485628884618005,0.16677515927416237,2.3612416792583146,0.018213856339565765,-0.018732236135190688,0.06050322133002792,-0.1373185499420454,0.09985407767166403,-0.30960725269505324,0.7568596402827432,0.0321479792189468,0.9119727184309915,0.1602828523557664,8.985406568127448e-05,0.0005776332793796,True,8.566907050389684,False,True
25,StddevVoicedSegmentLengthSec,ok,powell,True,158,3784,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 131.061179 | The MLE may be on the boundary of the parameter space.",0.12228392108692601,0.06634569573263424,-0.007753642549037099,0.2523214847228891,1.8431326966517403,0.06530963850618009,-0.01271483322405121,0.03224906167910918,-0.0759229941151052,0.050493327667002784,-0.39426986591327184,0.6933818086862673,-0.007760869006067695,0.06634085549585013,-0.13778894577793396,0.12226720776579857,-0.11698475921151133,0.9068721309348802,0.0816370481327251,0.9272903435225,0.1272186564236515,0.0009289958045002,0.0040748520804154,True,3.878939988402558,False,False
