Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx039,W,12,6,0.5,6.6769,False,6.6769,-4.109400041373687,-0.4839422740132287
xxxxxxxx040,CW,12,12,1.0,9.5134,False,9.5134,0.43493459490912884,-0.762083849205258
xxxxxxxx040,W,12,10,0.8333333333333334,6.3866,False,6.3866,-1.2108053693333174,-0.6269228310711797
xxxxxxxx041,CW,12,12,1.0,9.4775,False,9.4775,0.43493459490912884,-0.7683715420633412
xxxxxxxx041,W,12,12,1.0,6.4065,False,6.4065,0.23849196668686676,-0.617121545899105
xxxxxxxx042,CW,12,12,1.0,13.7688,False,13.7688,0.43493459490912884,-0.01677331471259754
xxxxxxxx042,W,12,12,1.0,7.063,False,7.063,0.23849196668686676,-0.29377764059926104
xxxxxxxx043,CW,12,12,1.0,11.0819,False,11.0819,0.43493459490912884,-0.4873694690408229
xxxxxxxx043,W,12,12,1.0,7.509,False,7.509,0.23849196668686676,-0.07411064629045569
xxxxxxxx044,CW,12,12,1.0,8.5407,False,8.5407,0.43493459490912884,-0.9324470481762153
xxxxxxxx044,W,12,12,1.0,6.9273,False,6.9273,0.23849196668686676,-0.36061353998873374
xxxxxxxx045,CW,12,12,1.0,8.5606,False,8.5606,0.43493459490912884,-0.9289616696838514
xxxxxxxx045,W,12,12,1.0,5.6632,False,5.6632,0.23849196668686676,-0.9832167855173446
xxxxxxxx046,CW,12,12,1.0,8.7083,False,8.7083,0.43493459490912884,-0.9030928051953039
xxxxxxxx046,W,12,12,1.0,6.614,False,6.614,0.23849196668686676,-0.5149222155872731
xxxxxxxx047,CW,12,12,1.0,10.0432,False,10.0432,0.43493459490912884,-0.6692922147703725
xxxxxxxx047,W,12,12,1.0,6.2738,False,6.2738,0.23849196668686676,-0.6824798646093708
