Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],-0.0468141475592558,-1.2956149511829436,-0.1176343624173547,0.0240060672988431,0.195108175512664,False,0.3192679235661774,False,0.0589215456694302,0.0491806149361934,True,0.0121073981101744,0.7513577391601738,False
logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2-mean,-0.0393132802150884,-1.2844561574739752,-0.0993028943200248,0.020676333889848,0.1989823944895085,False,0.3197931340009958,False,-0.0430500580800058,0.2927324095261924,False,-0.0823633382950942,0.0580069255583926,False
F2bandwidth_sma3nz_amean,F2-mean [tongue position],0.0400637228132872,1.2600831806188446,-0.0222535098280359,0.1023809554546104,0.2076393570450909,False,0.3278516163869857,False,-0.0130789105786501,0.6633285980368139,False,0.0269848122346371,0.3429081164443894,False
mfcc2_sma3_amean,MFCC coefficient 2-mean [vocal tract feature],-0.0347762016778468,-1.2467817154434753,-0.0894460403868104,0.0198936370311167,0.2124775466357399,False,0.3297065378830446,False,-0.0134472783047786,0.7725444385442517,False,-0.0482234799826254,0.3176238458174363,False
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,-0.0456774183793592,-1.22652187934336,-0.1186706046659946,0.0273157679072762,0.2200023469535698,False,0.3355968004376488,False,0.0321506758785117,0.1742120760572558,False,-0.0135267425008475,0.6902092694277981,False
mfcc3V_sma3nz_amean,MFCC coefficient 3-mean [vocal tract feature],-0.034982034450357,-1.16203924929938,-0.093985882697341,0.0240218137966269,0.2452195222901385,False,0.3678292834352078,False,-0.0417510078029772,0.2519421564071926,False,-0.0767330422533342,0.0390830602615002,True
F3frequency_sma3nz_amean,F3-mean [timbre],-0.0308429961794894,-1.0825894945528034,-0.0866834350678891,0.0249974427089102,0.2789906723560459,False,0.4116255821646579,False,-0.046106081937852,0.3595703104140623,False,-0.0769490781173414,0.0936599926481145,False
loudness_sma3_meanFallingSlope,Loudness-falling slope [intensity],0.0321471682686032,1.014936181965591,-0.0299340255306325,0.0942283620678391,0.3101362494539424,False,0.4501977814654003,False,-0.1106988633918073,0.004029920803721,True,-0.078551695123204,0.025774153036232,True
F1frequency_sma3nz_amean,F1-mean [mouth opening],-0.0253690046937624,-0.929595144131241,-0.0788581494184195,0.0281201400308946,0.3525807425694215,False,0.5036867750991736,False,0.0320324473806609,0.5498930111636842,False,0.0066634426868984,0.8866783288440192,False
StddevUnvoicedSegmentLength,Unvoiced segment duration SD [pause stability],0.0333754381540458,0.9074884254019174,-0.038709072183326,0.1054599484914178,0.3641485675641356,False,0.5120839231370656,False,0.0042441024756757,0.8518870274665234,False,0.0376195406297216,0.2036300713345502,False
spectralFlux_sma3_amean,Spectral flux-mean [timbre change],0.0230958318622293,0.885257176618831,-0.0280393993966308,0.0742310631210895,0.3760179407798215,False,0.5206402256951376,False,0.258094957193456,0.0001067888796696,True,0.2811907890556853,0.0001261400066527,True
F1amplitudeLogRelF0_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],-0.0306044463881221,-0.8509804397220473,-0.1010933931614603,0.0398845003852161,0.3947802185544671,False,0.5383366616651825,False,0.0316245633235086,0.2648729440735402,False,0.0010201169353865,0.9649756662116282,False
