Pair,Task_1,Task_2,Behavior_Metric,Speech_Feature,N,Spearman_rho,p_raw,Status,p_fdr_bh,Significant_FDR,Significant_Raw
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_meanFallingSlope,158,-0.06606105874865108,0.40955185808081573,ok,0.5397937161714048,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_pctlrange0-2,158,-0.0658794988174724,0.41084299508601363,ok,0.5397937161714048,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc4V_sma3nz_stddevNorm,158,0.06476911650152707,0.4187912565912376,ok,0.5443527130331308,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2frequency_sma3nz_amean,158,0.06455124458411267,0.42036126173113997,ok,0.5443527130331308,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,spectralFluxV_sma3nz_stddevNorm,158,-0.06186415760266839,0.4400043598640305,ok,0.5657198912537535,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,spectralFluxV_sma3nz_amean,158,-0.060457545925326275,0.45049142161624844,ok,0.5737308649357774,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc3_sma3_stddevNorm,158,0.060175642228979906,0.4526099045604466,ok,0.5737308649357774,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,hammarbergIndexV_sma3nz_amean,158,0.05748187421116641,0.4731321092219871,ok,0.5955509067129908,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,jitterLocal_sma3nz_stddevNorm,158,-0.05346844415353269,0.5046259802184001,ok,0.629888120355962,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc2V_sma3nz_amean,158,0.05312013678979066,0.5074098747311916,ok,0.629888120355962,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_percentile50.0,158,0.050164053406080926,0.5313544037240987,ok,0.6532478345585448,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,equivalentSoundLevel_dBp,158,-0.049904238019103715,0.533485731556145,ok,0.6532478345585448,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3frequency_sma3nz_amean,158,0.049156873577331894,0.5396403032222474,ok,0.6563192877027334,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3bandwidth_sma3nz_stddevNorm,158,0.0450241040283924,0.5742963060638069,ok,0.6937807724260755,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,logRelF0-H1-A3_sma3nz_amean,158,0.043903102516172327,0.5838733630436568,ok,0.7006480356523881,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc4V_sma3nz_stddevNorm,158,-0.04283960514726352,0.593026646536728,ok,0.7069191813020599,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,158,-0.040208835705978996,0.6159440127947104,ok,0.7294073835726834,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc2V_sma3nz_stddevNorm,158,0.03847541615251529,0.6312515030088903,ok,0.7426488270692827,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3bandwidth_sma3nz_amean,158,0.03522124136126531,0.6604114838255026,ok,0.7719095265492888,False,False
