Device_ID,Device_Name,Acoustic_Level,Feature,N_Complete_Pairs,ICC_3_1,ICC_95CI_Low_Bootstrap,ICC_95CI_High_Bootstrap,Bootstrap_Valid_Replicates,ICC_Category,Session1_Mean,Session1_SD,Session2_Mean,Session2_SD,Mean_Change_S2_Minus_S1
1,ASUS_FX63VD_laptop,Overall_All_Conditions,hammarbergIndexV_sma3nz_stddevNorm,51,0.3850855161831863,0.1302498839606993,0.8100197969889209,2000,poor,0.2636372319171228,0.11171992970133376,0.2360490519152087,0.06372411654712824,-0.027588180001914153
1,ASUS_FX63VD_laptop,Overall_All_Conditions,spectralFluxV_sma3nz_stddevNorm,51,0.7022595965332273,0.5902634561126682,0.8014561041594779,2000,moderate,0.38448786914226407,0.05993029817871843,0.3711316052680317,0.06983933028674406,-0.013356263874232362
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,51,0.7096051606334725,0.529283438632707,0.8411724281759215,2000,moderate,4.367953228070851,1.8025563961259312,4.221007474671933,2.286442641165054,-0.1469457533989187
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F1amplitudeLogRelF0_sma3nz_amean,51,0.3814475606684532,0.0415557000554045,0.717591605687386,2000,poor,-14.544433209490222,6.179482023026362,-11.966376378312738,6.439314221554809,2.5780568311774834
1,ASUS_FX63VD_laptop,Overall_All_Conditions,jitterLocal_sma3nz_amean,51,0.7170456657061985,0.57603724417488,0.8163211333844341,2000,moderate,0.03697872663094577,0.011226299210224517,0.0356482063296901,0.014736667674377644,-0.001330520301255671
1,ASUS_FX63VD_laptop,Overall_All_Conditions,StddevVoicedSegmentLengthSec,51,0.3975928605624043,0.07019490712599318,0.6366445598777639,2000,poor,0.008663529289505575,0.008250744128350914,0.0051701227199899,0.006948494757296185,-0.0034934065695156756
1,ASUS_FX63VD_laptop,Overall_All_Conditions,slopeUV500-1500_sma3nz_amean,51,0.7215986908804656,0.6008512537400419,0.7989906886563886,2000,moderate,-0.003236404977181154,0.0030649782753193913,-0.0026227609721372084,0.003288689837164101,0.0006136440050439463
1,ASUS_FX63VD_laptop,Overall_All_Conditions,alphaRatioUV_sma3nz_amean,51,0.30280116735731827,-0.04803745074778998,0.5641099231104796,2000,poor,-1.4479433393706354,1.4562202296276632,-1.2858397089575835,1.3223047002242059,0.16210363041305173
1,ASUS_FX63VD_laptop,Overall_All_Conditions,mfcc1V_sma3nz_amean,51,0.7954435925809906,0.6638127694524593,0.8815494880059749,2000,good,32.743478230939665,3.5055275334192326,32.54474718245729,3.847496327146438,-0.19873104848238535
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F3amplitudeLogRelF0_sma3nz_amean,51,0.6753503026274794,0.3829077321641816,0.8751045218274096,2000,moderate,-33.03109916842154,7.491170984929287,-31.19637392727262,7.66607044616193,1.8347252411489257
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,51,0.5704435822081496,0.30565779457201186,0.7857758197225945,2000,moderate,17.11408913666015,12.039683946869037,16.490920676804603,11.558309358835256,-0.623168459855549
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,51,0.9502586048918132,0.9100831571408188,0.9768588767855018,2000,excellent,28.258808242848882,4.570226521914651,28.326317639837793,4.676322510246678,0.06750939698890279
1,ASUS_FX63VD_laptop,Overall_All_Conditions,slopeUV0-500_sma3nz_amean,51,0.6864189936988683,0.505096540000233,0.8102476607481504,2000,moderate,0.007585984266271712,0.008938572068104549,0.006462050852024363,0.00790019438210182,-0.0011239334142473499
1,ASUS_FX63VD_laptop,Overall_All_Conditions,MeanUnvoicedSegmentLength,51,0.46942747423461534,-0.0031845797052915833,0.884229211249591,2000,poor,0.008058752375986293,0.01187860221536324,0.005552894511262383,0.007683148711314635,-0.002505857864723908
1,ASUS_FX63VD_laptop,Overall_All_Conditions,slopeV0-500_sma3nz_amean,51,0.9275315796321156,0.8659823837009292,0.9634784886325992,2000,excellent,0.05456860033960049,0.029141511681436343,0.05530439911301235,0.02997078908196785,0.0007357987734118615
1,ASUS_FX63VD_laptop,Overall_All_Conditions,spectralFluxV_sma3nz_amean,51,0.38481658455337825,0.05762336555247912,0.6254812747523456,2000,poor,1.1029305375207243,0.25760995459050834,1.0738564869580438,0.23456388137367162,-0.02907405056268036
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F2amplitudeLogRelF0_sma3nz_amean,51,0.5606923259510811,0.255763335670442,0.8104871397273333,2000,moderate,-25.699377866247676,6.468215111050323,-23.66438640450339,6.4054898851766495,2.0349914617442897
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,51,0.5828528088453854,0.3518221835346207,0.7275494113195375,2000,moderate,20.514750506734238,13.153123741062862,18.720472223956776,15.769940802486559,-1.7942782827774597
1,ASUS_FX63VD_laptop,C,Gap_Before,51,0.3057286653759478,0.0005886081780464359,0.6683324524524793,2000,poor,0.32281535947712425,0.11587939889016499,0.3296986036838977,0.12523899828066226,0.00688324420677361
1,ASUS_FX63VD_laptop,C,loudness_sma3_stddevNorm,51,0.6910231648954085,0.4812110669915223,0.8227075234516305,2000,moderate,0.34940834285606165,0.08456566898871226,0.33978084559412364,0.08641424675949143,-0.009627497261937934
1,ASUS_FX63VD_laptop,C,spectralFlux_sma3_stddevNorm,51,0.7128166903724974,0.5765227843561915,0.830862492974514,2000,moderate,0.4390977046613493,0.07988558485308028,0.43982788686437474,0.09305885552782733,0.0007301822030253849
1,ASUS_FX63VD_laptop,C,F3amplitudeLogRelF0_sma3nz_stddevNorm,51,0.21568476331156983,-0.0914315266343742,0.6010496025187817,2000,poor,-0.5825719586211083,0.5670228956531659,-0.41536966106753115,0.41741489400386017,0.16720229755357718
1,ASUS_FX63VD_laptop,C,HNRdBACF_sma3nz_amean,51,0.8658126859118962,0.7610153002013962,0.9319613156068058,2000,good,5.708453320039007,2.5329126651694693,5.598629264616413,2.512101415633305,-0.10982405542259331
1,ASUS_FX63VD_laptop,C,loudness_sma3_percentile20.0,51,0.4602783694394469,0.18437378724491685,0.6797552706058088,2000,poor,0.8189171263743337,0.228339762720919,0.8708064685344908,0.2634534779929424,0.051889342160157274
1,ASUS_FX63VD_laptop,C,loudness_sma3_pctlrange0-2,51,0.6507320164077829,0.47832087199673884,0.7847495497447244,2000,moderate,0.8643584821973078,0.33823937342252175,0.8272335727943139,0.2573518648161266,-0.03712490940299404
1,ASUS_FX63VD_laptop,C,shimmerLocaldB_sma3nz_amean,51,0.5153468813241764,0.20887364013485313,0.7468802525216667,2000,moderate,1.2181106093702079,0.19639357071051222,1.2252877224557681,0.19534057941915967,0.007177113085560182
1,ASUS_FX63VD_laptop,C,mfcc1_sma3_stddevNorm,51,0.4262993058939888,0.26367373098432545,0.6001338928154177,2000,poor,0.17800522671732438,0.054264511640992344,0.17665969351454858,0.05822306663572594,-0.0013455332027758201
1,ASUS_FX63VD_laptop,C,mfcc1_sma3_amean,51,0.671860810018817,0.5397605709786075,0.7689609482594857,2000,moderate,32.36201675860428,3.3579314794000745,31.996746517261855,4.014521293790247,-0.36527024134240976
1,ASUS_FX63VD_laptop,C,mfcc1V_sma3nz_stddevNorm,51,0.2695147030730324,0.11085216799402947,0.4633592978027523,2000,poor,0.14898562525505274,0.05132314759890037,0.14794459130971363,0.05103674456762811,-0.0010410339453391028
1,ASUS_FX63VD_laptop,C,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,51,0.5737516489859887,0.35529987160390286,0.7271318375237501,2000,moderate,0.08359378273375768,0.03903600189881956,0.0761940325845219,0.04362938827862268,-0.0073997501492357775
1,ASUS_FX63VD_laptop,C,hammarbergIndexUV_sma3nz_amean,51,0.2948649435631591,0.05733438343324383,0.542917627662497,2000,poor,2.309344158820538,2.4825531268491017,1.916333345141853,2.3362664359630743,-0.3930108136786851
1,ASUS_FX63VD_laptop,C,spectralFluxUV_sma3nz_amean,51,0.31312932757276807,0.03182905261002726,0.610211506503923,2000,poor,0.08815100545531766,0.12083242893800651,0.07398278214755692,0.13136718657171179,-0.014168223307760727
1,ASUS_FX63VD_laptop,C,hammarbergIndexV_sma3nz_stddevNorm,51,0.500155681257724,0.2379901331207514,0.7038366906875428,2000,moderate,0.24633997088365714,0.08598373500069689,0.23141271138103897,0.06558611712849233,-0.014927259502618119
1,ASUS_FX63VD_laptop,C,spectralFluxV_sma3nz_stddevNorm,51,0.6389894943572283,0.4776899890440387,0.7693207072198283,2000,moderate,0.36042835258071393,0.07348102817477274,0.36164741295617264,0.09095469202499683,0.0012190603754586593
1,ASUS_FX63VD_laptop,C,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,51,0.5131253214368899,0.25963449484539197,0.681788799471371,2000,moderate,4.124284093888544,2.0770475986898815,3.7432214892200957,2.4728372898877153,-0.3810626046684479
1,ASUS_FX63VD_laptop,C,F1amplitudeLogRelF0_sma3nz_amean,51,0.2962889930907641,0.059580408521051245,0.49233261398549016,2000,poor,-12.87922682982869,5.255173158091503,-11.295922017000038,6.1433673700899885,1.5833048128286504
1,ASUS_FX63VD_laptop,C,jitterLocal_sma3nz_amean,51,0.46988786244053526,0.23406012029596462,0.6734874288557511,2000,poor,0.03612370703928832,0.014270330360685408,0.0330141840926086,0.016019507296266847,-0.003109522946679715
