Group,Task,Feature,Devices,N_complete_targets,ICC_2_1_absolute_agreement,ICC_Category
task_mean,W,F3frequency_sma3nz_stddevNorm,"1,2,3",102,0.3420589738100434,poor
task_mean,W,Gap_Before,"1,2,3",102,0.9098901859058264,excellent
task_mean,W,HNRdBACF_sma3nz_amean,"1,2,3",102,0.8823557876089307,good
task_mean,W,HNRdBACF_sma3nz_stddevNorm,"1,2,3",102,0.0143818817400546,poor
task_mean,W,MeanUnvoicedSegmentLength,"1,2,3",102,0.4870163411752752,poor
task_mean,W,MeanVoicedSegmentLengthSec,"1,2,3",102,0.8289212116482297,good
task_mean,W,StddevUnvoicedSegmentLength,"1,2,3",102,0.1528758854628194,poor
task_mean,W,StddevVoicedSegmentLengthSec,"1,2,3",102,0.2839058731210014,poor
task_mean,W,VoicedSegmentsPerSec,"1,2,3",102,0.7442472182635128,moderate
task_mean,W,Word_Duration,"1,2,3",102,0.8106395960789241,good
task_mean,W,alphaRatioUV_sma3nz_amean,"1,2,3",102,0.1014129568513739,poor
task_mean,W,alphaRatioV_sma3nz_amean,"1,2,3",102,0.6454417512706493,moderate
task_mean,W,alphaRatioV_sma3nz_stddevNorm,"1,2,3",102,0.0020816766825515,poor
task_mean,W,equivalentSoundLevel_dBp,"1,2,3",102,0.0323387373595382,poor
task_mean,W,hammarbergIndexUV_sma3nz_amean,"1,2,3",102,0.1557534974494823,poor
task_mean,W,hammarbergIndexV_sma3nz_amean,"1,2,3",102,0.6250555288148347,moderate
task_mean,W,hammarbergIndexV_sma3nz_stddevNorm,"1,2,3",102,0.2096205462361392,poor
task_mean,W,jitterLocal_sma3nz_amean,"1,2,3",102,0.5143490208404589,moderate
task_mean,W,jitterLocal_sma3nz_stddevNorm,"1,2,3",102,0.5542775865737741,moderate
task_mean,W,logRelF0-H1-A3_sma3nz_amean,"1,2,3",102,0.6763363986381439,moderate
task_mean,W,logRelF0-H1-A3_sma3nz_stddevNorm,"1,2,3",102,0.0078704285345424,poor
task_mean,W,logRelF0-H1-H2_sma3nz_amean,"1,2,3",102,0.5538439109347015,moderate
task_mean,W,logRelF0-H1-H2_sma3nz_stddevNorm,"1,2,3",102,0.1323455170430391,poor
task_mean,W,loudnessPeaksPerSec,"1,2,3",102,0.5561635303603183,moderate
task_mean,W,loudness_sma3_amean,"1,2,3",102,0.0767989942178737,poor
task_mean,W,loudness_sma3_meanFallingSlope,"1,2,3",102,0.3332587089977861,poor
task_mean,W,loudness_sma3_meanRisingSlope,"1,2,3",102,0.1220253693010666,poor
task_mean,W,loudness_sma3_pctlrange0-2,"1,2,3",102,0.1452639012335181,poor
task_mean,W,loudness_sma3_percentile20.0,"1,2,3",102,0.1265223189991833,poor
task_mean,W,loudness_sma3_percentile50.0,"1,2,3",102,0.0765073491153679,poor
