Device_ID,Device_Name,Task,Feature,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max
1,ASUS_FX63VD_laptop,STT,logRelF0-H1-A3_sma3nz_amean,1190,22.98676893826449,10.87252607057467,23.51151466369629,16.25570821762085,30.18625402450561,13.930545806884766,-18.224796295166016,49.72703170776367
2,iPad_2021,STT,logRelF0-H1-A3_sma3nz_amean,996,25.47756364149412,13.674258719546108,26.132323265075684,16.608121395111084,34.71647262573242,18.108351230621334,-104.14361572265624,62.67367172241211
3,Huawei_P30_phone,STT,logRelF0-H1-A3_sma3nz_amean,1041,21.77278735311872,14.10066967913395,21.138437271118164,12.55579662322998,30.56326484680176,18.00746822357178,-28.94150161743164,63.30354690551758
1,ASUS_FX63VD_laptop,STT,logRelF0-H1-A3_sma3nz_stddevNorm,1190,0.8457710686538901,11.455598759432682,0.3359746783971786,0.207472875714302,0.5645574033260345,0.3570845276117325,-37.72086334228516,388.1259460449219
2,iPad_2021,STT,logRelF0-H1-A3_sma3nz_stddevNorm,996,0.7336987111882034,6.506525674064405,0.3025829344987869,0.175133679062128,0.5440142899751663,0.3688806109130383,-36.82573699951172,171.61361694335938
3,Huawei_P30_phone,STT,logRelF0-H1-A3_sma3nz_stddevNorm,1041,0.6470584136077832,5.393134334291156,0.424256682395935,0.2425221055746078,0.8014129996299744,0.5588908940553665,-67.656982421875,114.23259735107422
1,ASUS_FX63VD_laptop,STT,logRelF0-H1-H2_sma3nz_amean,1190,5.6090545785535095,8.314744760790983,5.30778956413269,-0.2215545065701007,11.57465672492981,11.79621123149991,-28.764833450317383,31.9524040222168
2,iPad_2021,STT,logRelF0-H1-H2_sma3nz_amean,996,3.990561930602978,10.601598465862969,3.0441393852233887,-2.682852804660797,10.090759992599486,12.773612797260284,-124.98504638671876,39.18603897094727
3,Huawei_P30_phone,STT,logRelF0-H1-H2_sma3nz_amean,1041,4.471936801153232,8.814818556275883,3.433962821960449,-1.8290613889694207,10.216560363769531,12.045621752738953,-44.066654205322266,33.629119873046875
1,ASUS_FX63VD_laptop,STT,logRelF0-H1-H2_sma3nz_stddevNorm,1190,0.7470206660977682,35.211093973237205,0.6477462351322174,-0.3369311839342117,1.4768714308738708,1.8138026148080824,-411.0282897949219,663.2588500976562
2,iPad_2021,STT,logRelF0-H1-H2_sma3nz_stddevNorm,996,1.102300900773306,18.644880154786577,0.4899854958057403,-1.0552413165569303,1.5221679508686066,2.577409267425537,-101.99722290039062,273.2744445800781
3,Huawei_P30_phone,STT,logRelF0-H1-H2_sma3nz_stddevNorm,1041,-2.5194609262358743,119.98376154787005,0.5303847789764404,-1.028076171875,1.6342655420303345,2.6623417139053345,-2540.52392578125,1518.5848388671875
1,ASUS_FX63VD_laptop,STT,loudnessPeaksPerSec,1190,3.51641549212592,1.9470050684328912,3.030303239822388,2.0833334922790527,4.545454502105713,2.46212100982666,0.0,14.285714149475098
2,iPad_2021,STT,loudnessPeaksPerSec,996,4.445864582097674,2.3881650903678406,4.0,2.6315789222717285,5.818414330482483,3.1868354082107544,0.0,16.666667938232422
3,Huawei_P30_phone,STT,loudnessPeaksPerSec,1041,3.87945591550281,1.997559587925872,3.409090995788574,2.4390244483947754,4.878048896789551,2.4390244483947754,0.0,12.820513725280762
1,ASUS_FX63VD_laptop,STT,loudness_sma3_amean,1190,1.1548642702713734,0.409380320861748,1.0737069249153135,0.8542823195457458,1.3763865530490875,0.5221042335033417,0.2261238098144531,3.2078170776367188
2,iPad_2021,STT,loudness_sma3_amean,996,0.7009994559378988,0.4022407706544842,0.607264518737793,0.457915149629116,0.8167430013418198,0.3588278517127037,0.1122242212295532,4.036608695983887
3,Huawei_P30_phone,STT,loudness_sma3_amean,1041,2.09433863952212,0.7691616708205914,1.9971985816955569,1.552892804145813,2.567448377609253,1.01455557346344,0.0499674044549465,4.754260063171387
1,ASUS_FX63VD_laptop,STT,loudness_sma3_meanFallingSlope,1190,3.400802354276681,5.182469305453041,3.977462291717529,2.196877181529999,5.94530177116394,3.7484245896339417,-26.837387084960938,23.99131202697754
2,iPad_2021,STT,loudness_sma3_meanFallingSlope,996,1.9868348403029648,3.58284211615674,2.274984121322632,0.988047018647194,3.5664219856262207,2.578374966979027,-16.358797073364258,19.768857955932617
3,Huawei_P30_phone,STT,loudness_sma3_meanFallingSlope,1041,5.725273064263416,10.5812133149274,8.372583389282227,0.921250820159912,12.14794635772705,11.22669553756714,-36.120025634765625,35.97732162475586
1,ASUS_FX63VD_laptop,STT,loudness_sma3_meanRisingSlope,1190,7.04924700577986,5.322034969715396,5.897832155227661,3.7279398441314697,9.159743785858154,5.431803941726685,-7.437607765197754,44.17806243896485
2,iPad_2021,STT,loudness_sma3_meanRisingSlope,996,4.298076220679595,4.161553696754423,3.29486620426178,2.043178260326385,5.231644511222839,3.188466250896454,-1.8839828968048096,40.1743049621582
3,Huawei_P30_phone,STT,loudness_sma3_meanRisingSlope,1041,14.059663076393884,10.203699786573964,12.334178924560549,7.883534908294678,18.419862747192383,10.536327838897703,-37.02059173583984,74.45992279052734
1,ASUS_FX63VD_laptop,STT,loudness_sma3_pctlrange0-2,1190,0.9375800237184811,0.5164576827081404,0.8487266600131989,0.5817361623048782,1.2018036842346191,0.6200675219297409,0.0322194397449493,2.943087339401245
2,iPad_2021,STT,loudness_sma3_pctlrange0-2,996,0.52289743883064,0.4248785350277093,0.3955369144678116,0.2383262440562248,0.6502948105335236,0.4119685664772987,0.0119462311267852,2.581704616546631
3,Huawei_P30_phone,STT,loudness_sma3_pctlrange0-2,1041,1.8316591042527837,0.8817595235814282,1.7573695182800293,1.173558473587036,2.364196300506592,1.190637826919556,0.0058583952486515,4.720930576324463
1,ASUS_FX63VD_laptop,STT,loudness_sma3_percentile20.0,1190,0.6811033456891524,0.3072002314767804,0.6129037141799927,0.4729425609111785,0.836541011929512,0.3635984510183335,0.1395889520645141,2.975274085998535
