Group,Task,Feature,Device_1,Device_1_Name,Device_2,Device_2_Name,Device_Pair,N,ICC_2_1_absolute_agreement,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Device1_mean,Device1_sd,Device2_mean,Device2_sd,Mean_difference_D2_minus_D1,SD_difference,Paired_t,Paired_t_p,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
overall_mean,All,F1amplitudeLogRelF0_sma3nz_amean,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.4135209898221432,poor,0.499414050596065,9.128657566973714e-08,0.4484848827544091,2.275811896464471e-06,-13.25540479390148,6.4116392460521325,-9.391177783952871,9.902507795873232,3.8642270099486096,8.70355537916524,4.484004302810696,1.9401259645371988e-05,3.8642270099486096,-13.194741533215256,20.92319555311248
overall_mean,All,F1amplitudeLogRelF0_sma3nz_amean,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.6391577681898925,moderate,0.7097530424674026,6.77174233671199e-17,0.7628059779136109,1.2046040805446147e-20,-5.190567627118005,8.605829836249079,-9.391177783952871,9.902507795873232,-4.200610156834867,7.151968757678601,-5.931804858283208,4.22380006935717e-08,-4.200610156834867,-18.218468921884924,9.817248608215191
overall_mean,All,F1amplitudeLogRelF0_sma3nz_stddevNorm,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,-0.0066689039040469,poor,-0.0195767627748467,0.84516000887624,-0.0072999304499267,0.9419509405824176,-3.0961044014124823,11.24806464938979,-6.289561272826619,64.57758675376625,-3.1934568714141367,65.7664331406906,-0.4904072169201833,0.6249094801331598,-3.1934568714141367,-132.0956658271677,125.70875208433942
overall_mean,All,F1amplitudeLogRelF0_sma3nz_stddevNorm,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,-0.0155947867871045,poor,-0.0195186527469943,0.8456139215835466,-0.0328807866509095,0.7428544539790634,-3.0961044014124823,11.24806464938979,1.871299206617172,21.344700926955955,4.967403608029653,24.320517038672225,2.0627981383109617,0.0416977394589088,4.967403608029653,-42.7008097877679,52.635617003827214
overall_mean,All,F1amplitudeLogRelF0_sma3nz_stddevNorm,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.0110596606397231,poor,0.0186453214225087,0.8524417403773382,0.184714816427388,0.0630890221228166,-6.289561272826619,64.57758675376625,1.871299206617172,21.344700926955955,8.16086047944379,67.63475398354392,1.2186138909218192,0.2258295280756409,8.16086047944379,-124.40325732830227,140.72497828718986
overall_mean,All,F1bandwidth_sma3nz_amean,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.434792157267465,poor,0.7325515360384607,2.1317009976498088e-18,0.7258709308966305,6.0872473905185596e-18,1217.9128468495614,64.83411652044668,1301.3569664365275,81.02246167572753,83.44411958696625,55.42460311070826,15.20523829755706,7.297657839553804e-28,83.44411958696625,-25.18810251002193,192.07634168395444
overall_mean,All,F1bandwidth_sma3nz_amean,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.5647163272753314,moderate,0.6902931554027565,1.0067047532316816e-15,0.7220258861979859,1.0981864065612722e-17,1217.9128468495614,64.83411652044668,1190.3665306333503,116.5423483674198,-27.546316216211203,85.75535926768354,-3.244160586989089,0.0015975725290221,-27.546316216211203,-195.62682038087092,140.53418794844853
overall_mean,All,F1bandwidth_sma3nz_amean,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.3767561759143926,poor,0.646133023567533,2.2388574479944406e-13,0.5908646261542202,6.262794626615363e-11,1301.3569664365275,81.02246167572753,1190.3665306333503,116.5423483674198,-110.99043580317748,89.13177962619338,-12.57630509798252,2.167904667797201e-22,-110.99043580317748,-285.68872387051647,63.70785226416152
overall_mean,All,F1bandwidth_sma3nz_stddevNorm,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.3389745413443032,poor,0.3732080420882359,0.0001118572367294,0.3630118008945384,0.0001769672482224,0.1476393054511657,0.023247229778343,0.1367402751048357,0.0239436072990585,-0.01089903034633,0.0264245720066927,-4.165623222894156,6.555031810545385e-05,-0.01089903034633,-0.0626911914794478,0.0408931307867878
overall_mean,All,F1bandwidth_sma3nz_stddevNorm,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.1152272543601598,poor,0.1888377533900146,0.0573279409000901,0.323690564373399,0.0009045589161984,0.1476393054511657,0.023247229778343,0.1761509629984655,0.0491846463277075,0.0285116575472998,0.0502764994171288,5.727400068385411,1.055647490043821e-07,0.0285116575472998,-0.0700302813102727,0.1270535964048723
