Group,Task,Feature,Device_1,Device_1_Name,Device_2,Device_2_Name,Device_Pair,N,ICC_2_1_absolute_agreement,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Device1_mean,Device1_sd,Device2_mean,Device2_sd,Mean_difference_D2_minus_D1,SD_difference,Paired_t,Paired_t_p,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
task_mean,STT,loudnessPeaksPerSec,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.6373404077491106,moderate,0.6885107061398034,1.7674199591876664e-15,0.6775305765870704,7.219988370327141e-15,3.502961443491441,0.9225386106473842,3.871744479838521,0.8906601653052478,0.3687830363470789,0.7161690089381595,5.175068454808656,1.1776707069664017e-06,0.3687830363470789,-1.0349082211717135,1.7724742938658715
task_mean,STT,loudnessPeaksPerSec,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.576996327485554,moderate,0.6653624588907916,3.2050896467142314e-14,0.7007221898660454,3.429019816776879e-16,4.364647350108067,1.1899768342426502,3.871744479838521,0.8906601653052478,-0.492902870269546,0.893829781980708,-5.542008824683959,2.4341555176546224e-07,-0.492902870269546,-2.244809242951733,1.2590035024126416
task_mean,STT,loudness_sma3_amean,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.1613286471306315,poor,0.39473804334777,4.410388484402031e-05,0.5983576004659289,3.895672854244489e-11,1.1586600388323784,0.2416617148061261,0.6948763688263033,0.3136355351608482,-0.4637836700060753,0.3113363432989695,-14.970845193592464,2.7757348874531027e-27,-0.4637836700060753,-1.0740029028720557,0.1464355628599049
task_mean,STT,loudness_sma3_amean,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.1534490130826706,poor,0.7369835089815978,1.5526243642072008e-18,0.7646592894583576,1.3343564639366611e-20,1.1586600388323784,0.2416617148061261,2.076112887670196,0.4911550791796114,0.9174528488378176,0.3531056085597531,26.111981219077183,1.8800910732794023e-46,0.9174528488378176,0.2253658560607015,1.609539841614934
task_mean,STT,loudness_sma3_amean,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0366610335204378,poor,0.2671292767441511,0.0069243934188151,0.6312405358182877,1.4790731543471256e-12,0.6948763688263033,0.3136355351608482,2.076112887670196,0.4911550791796114,1.381236518843893,0.5072488578664811,27.36576929146084,3.055294375937577e-48,1.381236518843893,0.3870287574255904,2.3754442802621965
task_mean,STT,loudness_sma3_meanFallingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.2886360772264126,poor,0.3977381819040486,3.809717763436817e-05,0.4252300524170064,9.31032213723194e-06,3.491205795223538,2.359008573758088,2.060222487438769,1.5174650785370172,-1.4309833077847691,2.24054558779778,-6.418617116053546,4.6452481341820726e-09,-1.4309833077847691,-5.822452659868418,2.960486044298879
task_mean,STT,loudness_sma3_meanFallingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.3626470678678845,poor,0.5424676036870743,4.6393338477132525e-09,0.5870122306348281,1.1070331975537977e-10,3.491205795223538,2.359008573758088,5.810551432732907,4.821316829627546,2.319345637509367,4.058383514137698,5.743453051728422,1.00231577559237e-07,2.319345637509367,-5.63508605020052,10.273777325219257
task_mean,STT,loudness_sma3_meanFallingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.1371538901239221,poor,0.3694340833746509,0.0001435502793883,0.3304251601630751,0.0007389380122203,2.060222487438769,1.5174650785370172,5.810551432732907,4.821316829627546,3.750328945294136,4.487995520274693,8.398034104140255,3.141044815298748e-13,3.750328945294136,-5.046142274444263,12.546800165032534
task_mean,STT,loudness_sma3_meanRisingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.3329688942168178,poor,0.4983942020868296,1.1342741334311138e-07,0.5802912055911473,2.0169618502933878e-10,7.054290974088533,2.793199389166541,4.2641379111187225,2.7772821990902155,-2.790153062969812,2.789743762974176,-10.051350098491342,7.640759892457425e-17,-2.790153062969812,-8.258050838399196,2.677744712459573
task_mean,STT,loudness_sma3_meanRisingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.216238971933264,poor,0.6693567541279495,1.980188202232916e-14,0.6303552708211997,1.6234821046283373e-12,7.054290974088533,2.793199389166541,14.17452502990588,4.599772341257122,7.120234055817348,3.429281037727067,20.866609025914624,3.237677112479755e-38,7.120234055817348,0.3988432218722968,13.8416248897624
