Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,C_Age_Coef,C_Age_PValue,C_Age_Significant
mfcc2V_sma3nz_amean,MFCC coefficient 2-mean [vocal tract feature],0.021826313692203357,0.7735468556780492,-0.03347683248789497,0.07712945987230169,0.43919880992930616,False,0.7686632985301509,False,-0.021138424615347557,0.6434626948118491,False,0.0006878890768558001,0.9891880323732722,False
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],0.026790585765810716,0.9118495722345993,-0.03079517146858476,0.08437634300020619,0.36184791058618015,False,0.7686632985301509,False,-0.0004943407073595093,0.9901299451536384,False,0.026296245058451205,0.5155950731011387,False
MeanUnvoicedSegmentLength,Mean unvoiced segment duration [pause duration],0.030708224671259526,0.7438503660295642,-0.050206060115523116,0.11162250945804217,0.4569670057509415,False,0.7686632985301509,False,0.005276170458305246,0.8163875329270263,False,0.03598439512956477,0.32131120268679547,False
MeanVoicedSegmentLengthSec,Mean voiced segment duration [voicing continuity],0.0241388959819104,0.6287334035615963,-0.05111117957719619,0.099388971541017,0.529523605654104,False,0.7686632985301509,False,0.30216329699011235,1.1821174521135074e-10,True,0.32630219297202273,1.6897594434794883e-13,True
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,0.027455491436223885,0.7610342529796512,-0.043254549543282034,0.09816553241572981,0.44663660853946185,False,0.7686632985301509,False,-0.026288320165383083,0.3606030450695532,False,0.0011671712708408027,0.9608768368596847,False
F1bandwidth_sma3nz_amean,F1-mean [mouth opening],-0.02049825316505746,-0.6688108450017333,-0.08056991094956677,0.039573404619451844,0.5036161477990994,False,0.7686632985301509,False,0.006645963527938621,0.8515938072540002,False,-0.013852289637118837,0.6866898575471712,False
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0 semitone-falling slope [pitch],-0.027855783709263757,-0.8308091876068098,-0.0935716386667992,0.03786007124827169,0.4060814315651764,False,0.7686632985301509,False,-0.038058731863363726,0.11756503410804295,False,-0.06591451557262748,0.025809769195816123,True
loudness_sma3_meanFallingSlope,Loudness-falling slope [intensity],-0.02456812735407552,-0.6439883139511843,-0.09934204571688321,0.05020579100873216,0.5195830119237854,False,0.7686632985301509,False,-0.021679496393351858,0.4581533104074732,False,-0.04624762374742738,0.30437317659232566,False
loudness_sma3_meanRisingSlope,Loudness-rising slope [intensity],-0.01886062648528309,-0.6680431803903367,-0.07419661223631671,0.036475359265750525,0.5041060296453732,False,0.7686632985301509,False,0.060490127429671976,0.21890440591687998,False,0.041629500944388886,0.3406767874741454,False
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],-0.01718229767261096,-0.8045949100645292,-0.05903851999896961,0.024673924653747695,0.421053480308371,False,0.7686632985301509,False,0.02289772434989657,0.7383627082339694,False,0.005715426677285612,0.9322517210499452,False
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],0.02641824205925112,0.820768793220853,-0.036668652647038315,0.08950513676554056,0.41177797728992194,False,0.7686632985301509,False,-0.012924055472791508,0.7540823563687633,False,0.013494186586459612,0.7898084533391296,False
Duration,Word duration (articulation lengthening),0.031917767301362567,0.7878646241887985,-0.04748524432018659,0.11132077892291173,0.43077589546040596,False,0.7686632985301509,False,0.2958177479378059,6.497329963786336e-10,True,0.3277355152391685,2.90878432451791e-14,True
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],0.021187110616782485,0.6015747381505149,-0.047842943631445645,0.09021716486501061,0.5474572485860203,False,0.7820817836943148,False,-0.01252759603638412,0.6032326000443011,False,0.008659514580398365,0.7719696497918602,False
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],-0.02190939994642442,-0.5800890691010655,-0.09593669365416063,0.05211789376131179,0.5618545547196659,False,0.7874807638832731,False,0.005898905691084605,0.7945783442689607,False,-0.016010494255339815,0.5918393050134729,False
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],-0.017281348041695652,-0.5570607936597156,-0.07808520023742939,0.04352250415403808,0.5774858935144003,False,0.7874807638832731,False,0.03672434452873711,0.25274715917090285,False,0.019442996487041456,0.5388305919579581,False
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,-0.02026836487688946,-0.5604387869168078,-0.09115210113156863,0.05061537137778971,0.5751801816156994,False,0.7874807638832731,False,0.019948406858502438,0.5006108062939614,False,-0.0003199580183870232,0.9891238942809599,False
mfcc3V_sma3nz_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],0.01681299058024026,0.4964528829438355,-0.049564832309749854,0.08319081347023037,0.6195749222182344,False,0.8322648208901656,False,0.0025108821308614704,0.9294611092615732,False,0.01932387271110173,0.5925495299352688,False
