Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,CW_Age_Coef,CW_Age_PValue,CW_Age_Significant
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],-0.055969575537252916,-1.7033763406847091,-0.12037129665598072,0.008432145581474884,0.08849766240315025,False,0.19842641093593913,False,0.03641559849419818,0.24089777057397022,False,-0.019553977043054734,0.5524243069384427,False
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.0467966949207608,-1.5153282113797155,-0.10732584059091115,0.013732450749389544,0.1296893073847039,False,0.27790565868150835,False,0.11277954170080019,0.006166871490300282,True,0.06598284678003939,0.0969415878964277,False
mfcc3_sma3_amean,MFCC coefficient 3-mean [vocal tract feature],-0.044667631213025465,-1.4886424544058634,-0.10347863510346045,0.014143372677409512,0.13658154585046678,False,0.2858683517800467,False,-0.04834397014067727,0.1877834454948527,False,-0.09301160135370273,0.01419351221136278,True
alphaRatioV_sma3nz_amean,Alpha ratio-mean [energy distribution],0.044245188946592566,1.43717784533466,-0.01609568717867762,0.10458606507186274,0.15066746640614048,False,0.3081834540125601,False,0.016654872367145405,0.6415089942122744,False,0.06090006131373797,0.11698995085161767,False
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.0438906910520461,1.4079738601135992,-0.017208280242115258,0.10498966234620746,0.1591388104242536,False,0.3182776208485072,False,0.12774746815974355,0.0003675104632856831,True,0.17163815921178965,1.1985630901101274e-06,True
logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3-mean,-0.03833454788523493,-1.3501147267219704,-0.09398590281674304,0.017316807046273183,0.17697918521777933,False,0.34626362325217697,False,-0.017621530449242074,0.6774656163425654,False,-0.05595607833447701,0.20465628254495982,False
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],-0.02840560505641026,-1.3162460610975109,-0.07070391656219456,0.013892706449374043,0.1880914683602587,False,0.36017515217921875,False,0.11164532031964844,0.1143555893722542,False,0.08323971526323817,0.22512524329709516,False
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],0.042758909953194285,1.301265867886099,-0.02164565607481171,0.10716347598120028,0.19316746608262092,False,0.36218899890491424,False,-0.010956979490102095,0.7323889775046843,False,0.03180193046309219,0.2273466808228357,False
mfcc2_sma3_amean,MFCC coefficient 2-mean [vocal tract feature],-0.035180005881189046,-1.2758951315082165,-0.08922270094627832,0.018862689183900237,0.20199259230691624,False,0.37100680219637683,False,-0.017330229415066976,0.7071976186765956,False,-0.05251023529625602,0.25144349807301514,False
HNRdBACF_sma3nz_stddevNorm,Harmonics-to-noise ratio-coefficient of variation [voice clarity],-0.04722731952684049,-1.2033762772308076,-0.12414885107441087,0.029694212020729888,0.22883074372137524,False,0.4118953386984754,False,0.00949034629530029,0.6740681797943109,False,-0.037736973231540204,0.24523077713206942,False
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],0.04222193676574909,1.068301507006364,-0.035242145722318804,0.11968601925381699,0.28538452893078947,False,0.502167796894351,False,0.0029691203705091446,0.8949927667129491,False,0.045191057136258234,0.16651553770140648,False
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],-0.035737217996273184,-1.0578114892253194,-0.10195407041861956,0.030479634426073203,0.29014139376118053,False,0.502167796894351,False,0.015341381466083107,0.5836135594365688,False,-0.020395836530190076,0.5653142814412142,False
mfcc3V_sma3nz_amean,MFCC coefficient 3-mean [vocal tract feature],-0.031238441807212705,-1.038811053056901,-0.09017827091469445,0.02770138730026904,0.298892619808666,False,0.5028112226104176,False,-0.037717538478479244,0.31256961523806515,False,-0.06895598028569194,0.06404398648188225,False
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],0.030376752800811566,1.0328230098626598,-0.027269557284309232,0.08802306288593237,0.30168673356625053,False,0.5028112226104176,False,-0.013136053057577101,0.7507275707654771,False,0.017240699743234465,0.6974435674996695,False
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.031151734434741448,-0.9826316969504565,-0.09328834134614225,0.030984872476659358,0.32578873831853794,False,0.5331088445212439,False,0.1751279369736015,0.0023341542060551297,True,0.14397620253886004,0.03940541387384022,True
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.03371480607308318,-0.9369564340262453,-0.10424211930074603,0.03681250715457968,0.3487809682257841,False,0.5605408417914387,False,0.03236172334452909,0.25581967226666935,False,-0.0013530827285540906,0.9538803906518396,False
F3bandwidth_sma3nz_amean,F3-mean [timbre],-0.027412269174700705,-0.9067921562766288,-0.08666294443751467,0.03183840608811325,0.36451671855305845,False,0.5755527135048292,False,0.15008649604839985,3.9382781894201806e-05,True,0.12267422687369915,0.0003452925920213179,True
F1frequency_sma3nz_amean,F1-mean [mouth opening],-0.024587536573616193,-0.889861951517784,-0.07874377013556394,0.029568696988331557,0.37354001642361545,False,0.5796310599676792,False,0.05491696303481619,0.3020374638066754,False,0.030329426461199998,0.5098440222933185,False
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],0.02807708538489231,0.8770073863328651,-0.03467163054610678,0.09082580131589141,0.380482626143854,False,0.5803972263211332,False,-0.0005418299245593723,0.988630860191257,False,0.02753525546033294,0.49220613154041537,False
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],-0.02759255338340947,-0.8401238740311041,-0.09196568489791787,0.03678057813109894,0.40083893549858685,False,0.6012584032478803,False,0.03518160046278029,0.18928033712017256,False,0.007589047079370817,0.8185241126774876,False
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.023492228925231926,-0.7826637357161614,-0.08232307363189538,0.03533861578143152,0.433824603082152,False,0.6197494329745029,False,-0.051088248010381934,0.1584448079588111,False,-0.07458047693561386,0.04673723210535874,True
hammarbergIndexV_sma3nz_amean,hammarbergIndexV-mean,-0.022282496860363744,-0.7893784497575893,-0.07760918314084773,0.033044189420120246,0.4298908474769204,False,0.6197494329745029,False,-0.04285467395760847,0.33067048958234657,False,-0.06513717081797221,0.13138715506805543,False
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.024956109830020032,0.8019322915014998,-0.036039033756547684,0.08595125341658776,0.4225921256748194,False,0.6197494329745029,False,0.023382728012286195,0.46286880585498413,False,0.04833883784230623,0.1101637867352756,False
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,-0.028970974733158884,-0.7691303082911344,-0.10279866019149558,0.04485671072517782,0.44181595739421275,False,0.6213036900856117,False,0.019368432142941844,0.5272358173563778,False,-0.00960254259021704,0.6716941362747957,False
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],-0.029798432876499366,-0.7444765772922013,-0.10824942813865826,0.048652562385659535,0.4565882063430461,False,0.6226202813768811,False,-0.007710970824462333,0.731332636020477,False,-0.0375094037009617,0.26002209487898464,False
loudness_sma3_meanRisingSlope,Loudness-rising slope [intensity],0.024029517842943975,0.7498780719631987,-0.03877783275588989,0.08683686844177785,0.45332814230310947,False,0.6226202813768811,False,0.056918555283962176,0.21185696084787287,False,0.08094807312690615,0.10536211373554161,False
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.023702457360937273,0.6991157858967364,-0.04274836146565836,0.09015327618753291,0.48447967396443214,False,0.6507935918925207,False,0.01890188765423428,0.5596591951148191,False,0.04260434501517155,0.12439765667369329,False
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,0.022718447142843524,0.6251426773838608,-0.048510342717285264,0.0939472370029723,0.531877419975838,False,0.7039554087915504,False,-0.025982899660948317,0.36275189460043544,False,-0.0032644525181047927,0.8894218401669434,False
loudness_sma3_amean,Loudness-mean [intensity],-0.017188687661814105,-0.6011999045326162,-0.07322633431338291,0.038848958989754705,0.5477068480603378,False,0.70419451893472,False,0.1831569885772763,0.002767209231790816,True,0.1659683009154622,0.01898451306454718,True
F3frequency_sma3nz_amean,F3-mean [timbre],-0.01751901817630804,-0.6033426014443007,-0.07443075546017643,0.03939271910756034,0.5462807979397342,False,0.70419451893472,False,-0.03144468087108924,0.5168663515250358,False,-0.04896369904739728,0.2380616476074795,False
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],-0.018214254255884306,-0.47340311881787217,-0.09362554100591464,0.05719703249414603,0.6359256052022301,False,0.8061028798338128,False,-8.092319325253096e-05,0.997166381463171,False,-0.018295177449136838,0.5657700971893542,False
equivalentSoundLevel_dBp,equivalentSoundLevel_dBp,-0.011479569634324456,-0.4238635541449484,-0.06456258718383906,0.041603447915190155,0.6716653252095974,False,0.8280805379296406,False,0.1680940562338651,0.01806856223435151,True,0.15661448659954066,0.029048967254815983,True
mfcc2_sma3_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],0.014611641841965796,0.4321276242749179,-0.05166233927254184,0.08088562295647343,0.6656486583463065,False,0.8280805379296406,False,0.028774003094514035,0.302302384978413,False,0.04338564493647983,0.22137509755351736,False
slopeV0-500_sma3nz_stddevNorm,slopeV0-500-coefficient of variation,0.011759486794244196,0.3549787720133133,-0.05317001303470388,0.07668898662319228,0.7226054944327246,False,0.8594242139172524,False,-0.02072026337415867,0.4697852716355856,False,-0.008960776579914473,0.7969264331399848,False
