Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,C_Age_Coef,C_Age_PValue,C_Age_Significant,CW_Age_Coef,CW_Age_PValue,CW_Age_Significant
F2amplitudeLogRelF0_sma3nz_amean,F2-mean [tongue position],-0.030340014781456568,-0.8718074394538379,-0.09855052352511774,0.03787049396220461,0.38331343540911245,False,0.5947967101175883,False,-0.01064952789404067,0.7246034510094596,False,-0.04098954267549724,0.30077828393900696,False
slopeV0-500_sma3nz_amean,slopeV0-500-mean,-0.018353625740554505,-0.8519295173868388,-0.060579074815060974,0.023871823333951964,0.39425321279324066,False,0.6014032059557909,False,0.2337151741141301,0.0002424839341004555,True,0.21536154837357557,0.0006995212026579267,True
mfcc2V_sma3nz_amean,MFCC coefficient 2-mean [vocal tract feature],-0.02331394295802288,-0.8271948428369433,-0.07855525471597385,0.031927368799928094,0.4081266342409282,False,0.6121899513613923,False,0.0008057641381475064,0.9860052339966437,False,-0.022508178819875373,0.6346000964179344,False
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,-0.02992862280957812,-0.7343785738035488,-0.1098058180318683,0.04994857241271207,0.46271804164352903,False,0.6206454065762818,False,0.007792887188146859,0.7289498619520147,False,-0.022135735621431257,0.5187744401759091,False
F1bandwidth_sma3nz_amean,F1-mean [mouth opening],0.028508933062962462,0.7820226441545478,-0.04294361274383592,0.09996147886976084,0.4342012659342612,False,0.6206454065762818,False,-0.014503649167501227,0.6833422515565128,False,0.014005283895461235,0.7637812590117219,False
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],-0.013553298976118549,-0.7412573836586209,-0.04939033288474315,0.022283734932506054,0.45853739591555187,False,0.6206454065762818,False,0.09859243729211055,0.15135185212985322,False,0.085039138315992,0.22341163086107474,False
hammarbergIndexV_sma3nz_amean,hammarbergIndexV-mean,-0.021804200168048588,-0.7753621375461677,-0.07692197063930864,0.03331357030321146,0.4381257015508414,False,0.6206454065762818,False,-0.04418105425292892,0.3256828998173322,False,-0.06598525442097751,0.13595462381826273,False
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],-0.025937906141093894,-0.7554573352343711,-0.0932326343348073,0.04135682205261951,0.44997462248401265,False,0.6206454065762818,False,0.0076744265815993475,0.774796505698457,False,-0.018263479559494547,0.6017532098376235,False
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0 semitone-80th percentile [pitch],0.013198765874362998,0.724217714242884,-0.022521958163430264,0.048919489912156264,0.46893208496874617,False,0.6206454065762818,False,0.16113015057683056,0.01922989555961034,True,0.17432891645119356,0.011630821366507504,True
loudnessPeaksPerSec,loudnessPeaksPerSec,-0.026249771707401563,-0.7700876738938253,-0.09305976528431549,0.04056022186951237,0.44124788720668495,False,0.6206454065762818,False,-0.13312976336948917,0.00017590142200230827,True,-0.15937953507689073,2.7624924570091025e-10,True
